symbol,price,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund
AEPGX,58.81,1.05,0,134331724772,0.941,52.84-60.92,0.44,American Funds EuroPacific Growth Fund Class A,USD,0000719603,,,NASDAQ,NASDAQ,Asset Management,,The fund invests primarily in common stocks of issuers in Europe and the Pacific Basin that the investment adviser believes have the potential for growth. Growth stocks are stocks that the investment adviser believes have the potential for above-average capital appreciation. It normally will invest at least 80% of its net assets in securities of issuers in Europe and the Pacific Basin. The fund may invest a portion of its assets in common stocks and other securities of companies in emerging markets.,,Financial Services,,,(213) 486-9200,"Los Angeles, CA 90071-1406",,,,,0.0,https://images.financialmodelingprep.com/symbol/AEPGX.png,1986-01-02,True,False,True,False,True
AFIFX,88.78,0.97,0,140481579263,0.792,69.83-88.83,0.09,"Fundamental Investors, Class F01 Shares",USD,0000039473,,,NASDAQ,NASDAQ,Asset Management,,The investment seeks long-term growth of capital and income.  The fund invests primarily in common stocks of companies that appear to offer superior opportunities for capital growth and most of which have a history of paying dividends. It may invest significantly in securities of issuers domiciled outside the United States. The investment adviser uses a system of multiple portfolio managers in managing the fund&#39;s assets.,,Financial Services,,,800-421-4225,Fundamental Investors Inc,,,,,0.0,https://images.financialmodelingprep.com/symbol/AFIFX.png,2001-03-15,True,False,True,False,True
AFMBX,37.02,0.93,0,234666327404,0.751,31.01-37.01,0.01,American Funds American Balanced Fund,USD,0000004568,,,NASDAQ,NASDAQ,Asset Management,,"The fund uses a balanced approach to invest in a broad range of securities, including common stocks and investment-grade bonds. It also invests in securities issued and guaranteed by the U.S. government and by federal agencies and instrumentalities. In addition, the fund may invest a portion of its assets in common stocks, most of which have a history of paying dividends, bonds and other securities of issuers domiciled outside the United States.",,Financial Services,,,415-421-9360,San Francisco CA 94105,,,,-45.47731,78.03731371170176,https://images.financialmodelingprep.com/symbol/AFMBX.png,2017-01-27,True,False,True,False,True
AGTHX,83.16,1.1,0,288955531252,0.37,61.53-82.99,0.17,American Funds The Growth Fund of America Class A,USD,0000044201,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks growth of capital.  The fund invests primarily in common stocks and seeks to invest in companies that appear to offer superior opportunities for growth of capital. It may invest up to 25% of its assets in securities of issuers domiciled outside the United States. The investment adviser uses a system of multiple portfolio managers in managing the fund&#39;s assets. Under this approach, the portfolio of the fund is divided into segments managed by individual managers.",,Financial Services,US,,800-421-4225,"The Growth Fund of America, Inc.",,,,,0.0,https://images.financialmodelingprep.com/symbol/AGTHX.png,1980-01-02,True,False,True,False,True
AICCX,62.27,0.92,0,151044923428,0.322,48.67-62.28,-0.01,American Funds Investment Co of America C,USD,0000051931,,,NASDAQ,NASDAQ,Asset Management,,"The fund invests primarily in common stocks, most of which have a history of paying dividends. It may invest up to 15% of its assets, at the time of purchase, outside the United States. Although the fund focuses on investments in medium to larger capitalization companies, the fund's investments are not limited to a particular capitalization size.",,Financial Services,,,,,,,,,0.0,https://images.financialmodelingprep.com/symbol/AICCX.png,2001-03-15,True,False,True,False,True
AICFX,63.02,0.92,0,151045212038,0.688,49.2-63.03,-0.01,American Funds Investment Co of America Cl F-1 Shs,USD,0000051931,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks long-term growth of capital and income.  The fund invests primarily in common stocks, most of which have a history of paying dividends. It may invest up to 15% of its assets, at the time of purchase, in securities of issuers domiciled outside the United States. Although the fund focuses on investments in medium to larger capitalization companies, the fund&#39;s investments are not limited to a particular capitalization size.",,Financial Services,,,800-421-4225,THE INVESTMENT COMPANY OF AMERICA,,,,,0.0,https://images.financialmodelingprep.com/symbol/AICFX.png,2001-03-15,True,False,True,False,True
AIVSX,63.25,0.92,0,151045299166,0.725,49.37-63.26,-0.01,American Funds Invmt Co of Amer A,USD,0000051931,,,NASDAQ,NASDAQ,Asset Management,,"The fund invests primarily in common stocks, most of which have a history of paying dividends. It may invest up to 15% of its assets, at the time of purchase, in securities of issuers domiciled outside the United States. Although the fund focuses on investments in medium to larger capitalization companies, the fund's investments are not limited to a particular capitalization size.",,Financial Services,,,(213) 486-9200,"Los Angeles, CA 90071-1406",,,,,0.0,https://images.financialmodelingprep.com/symbol/AIVSX.png,1986-01-02,True,False,True,False,True
AMAT,183.16,1.551,6538530,150997836640,1.52,144.57-255.89,-0.105,"Applied Materials, Inc.",USD,0000006951,US0382221051,038222105,NASDAQ Global Select,NASDAQ,Semiconductors,https://www.appliedmaterials.com,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was incorporated in 1967 and is headquartered in Santa Clara, California.",Mr. Gary E. Dickerson,Technology,US,35200,408 727 5555,3050 Bowers Avenue,Santa Clara,CA,95052-3299,36.70219,149.50281100696893,https://images.financialmodelingprep.com/symbol/AMAT.png,1980-03-17,False,False,True,False,False
AMBFX,37.0,0.93,0,234666361700,0.854,31.0-36.99,0.01,American Balanced Fund Class F-2 Shs,USD,0000004568,,,NASDAQ,NASDAQ,Asset Management,,"The fund uses a balanced approach to invest in a broad range of securities, including common stocks and investment-grade bonds. It also invests in securities issued and guaranteed by the U.S. government and by federal agencies and instrumentalities. In addition, the fund may invest a portion of its assets in common stocks, most of which have a history of paying dividends, bonds and other securities of issuers domiciled outside the United States.",,Financial Services,,,415-421-9360,San Francisco CA 94105,,,,,0.0,https://images.financialmodelingprep.com/symbol/AMBFX.png,2008-08-01,True,False,True,False,True
AMCPX,46.4,1.06,0,87931260899,0.123,36.82-46.29,0.11,American Funds AMCAP A,USD,0000004405,,,Nasdaq,NASDAQ,Asset Management,,"The fund invests primarily in common stocks of U.S. companies that have solid long-term growth records and the potential for good future growth. The basic investment philosophy of the investment adviser is to seek to invest in attractively valued companies that, in its opinion, represent good, long-term investment opportunities.",,Financial Services,,,213-486-9200,Los Angeles CA 90071,,,,,0.0,https://images.financialmodelingprep.com/symbol/AMCPX.png,1986-01-02,True,False,True,False,True
AMD,141.98,1.706,34337396,230406563800,0.0,116.38-227.3,-0.08,"Advanced Micro Devices, Inc.",USD,0000002488,US0079031078,007903107,NASDAQ Global Select,NASDAQ,Semiconductors,https://www.amd.com,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides processors for desktop and notebook personal computers under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, AMD FX, AMD A-Series, and AMD PRO A-Series processors brands; discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics, AMD Embedded Radeon graphics brands; and professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands. It also offers Radeon Instinct, Radeon PRO V-series, and AMD Instinct accelerators for servers; chipsets under the AMD trademark; microprocessors for servers under the AMD EPYC; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was incorporated in 1969 and is headquartered in Santa Clara, California.",Dr. Lisa T. Su Ph.D.,Technology,US,26000,408 749 4000,2485 Augustine Drive,Santa Clara,CA,95054,76.27431,65.8132871800909,https://images.financialmodelingprep.com/symbol/AMD.png,1980-03-17,False,False,True,False,False
AMECX,26.22,0.88,0,127252550485,0.857,22.63-26.28,-0.01,American Funds The Income Fund of America Class A,USD,0000050013,,,NASDAQ,NASDAQ,Asset Management - Income,,"The investment seeks to provide investors with current income while secondarily striving for capital growth.  Normally the fund invests primarily in income-producing securities. These include equity securities, such as dividend-paying common stocks, and debt securities, such as interest-paying bonds. Generally at least 60% of the fund&#39;s assets will be invested in common stocks and other equity-type securities. The fund may also invest up to 30% of its assets in equity securities of issuers domiciled outside the United States, including issuers in developing countries.",,Financial Services,US,,800-421-4225,"The Income Fund of America, Inc.",,,,-63.43692,86.7969238906456,https://images.financialmodelingprep.com/symbol/AMECX.png,1986-01-02,True,False,True,False,True
AMFCX,59.08,0.7,0,71688852359,0.703,49.17-59.43,-0.15,American Funds American Mutual Fund,USD,0000005506,,,NASDAQ,NASDAQ,Asset Management,,"The fund invests primarily in common stocks of companies that are likely to participate in the growth of the American economy and whose dividends appear to be sustainable. It invests primarily in securities of issuers domiciled in the United States and Canada. The fund may also invest in bonds and other debt securities, including those issued by the U.S. government and by federal agencies and instrumentalities.",,Financial Services,,,(213) 486-9200,"Los Angeles, CA 90071",,,,,0.0,https://images.financialmodelingprep.com/symbol/AMFCX.png,2001-03-15,True,False,True,False,True
AMFFX,59.89,0.7,0,72671723501,1.065,49.77-60.24,-0.15,American Funds American Mutual Fund Class F-1,USD,0000005506,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks current income, growth of capital and conservation of principal.  The fund invests primarily in common stocks of companies that are likely to participate in the growth of the American economy and whose dividends appear to be sustainable. It invests primarily in securities of issuers domiciled in the United States and Canada. The fund may also invest in bonds and other debt securities, including those issued by the U.S. government and by federal agencies and instrumentalities.",,Financial Services,,,800-421-4225,American Mutual Fund Inc,,,,-76.10314,136.14313577065644,https://images.financialmodelingprep.com/symbol/AMFFX.png,2001-03-15,True,False,True,False,True
