symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
ABR-PB,"Arbor Realty Trust, Inc.",25.12,0.0398257,0.0100002,25.1102,25.12,27.0,22.86,0.0,25.315136,25.499289,NYSE,2159.0,4597.0,25.1165,25.11,2.465,10.190669371196755,,0.0,0
ABR-PC,"Arbor Realty Trust, Inc.",25.12,-0.0397864,-0.00999832,25.12,25.13,27.7333,24.1222,0.0,25.434124,25.89361,NYSE,11286.0,6557.0,25.1,25.13,2.465,10.190669371196755,,0.0,0
ABR-PD,"Arbor Realty Trust, Inc.",19.1,-0.5208,-0.1,19.0243,19.25,19.9799,16.5,2.729964757,19.3627,18.579441,NYSE,3667.0,20277.0,19.205,19.2,2.112,9.04,2025-02-14T13:30:00.000+0000,142930092.0,1733258452
ABR-PE,"Arbor Realty Trust, Inc.",18.8603,0.8572,0.1603,18.8,18.8603,20.94,16.54,2.767782087,19.585432,18.561834,NYSE,752.0,6343.0,18.8,18.7,2.112,8.93,2025-02-14T13:30:00.000+0000,146751753.0,1733245203
ABR-PF,"Arbor Realty Trust, Inc.",21.06,-0.1896,-0.04,20.8701,21.33,21.44,17.67,2.739055387,20.109385,19.45336,NYSE,21353.0,33562.0,21.19,21.1,2.112,9.97,2025-02-14T13:30:00.000+0000,130059610.0,1733259602
ABT,Abbott Laboratories,116.29,-0.4452,-0.52,116.07,117.43,121.64,99.71,201.7003534,115.8178,110.9792,NYSE,2947539.0,5055185.0,117.099,116.81,3.29,35.35,2025-01-22T14:30:00.000+0000,1734460000.0,1733259644
AC,"Associated Capital Group, Inc.",35.12,-2.4715,-0.89,35.12,36.8098,43.848,28.58,0.745863177,36.39936,33.86995,NYSE,8010.0,7619.0,35.67,36.01,2.62,13.4,2025-02-04T21:00:00.000+0000,21237562.0,1733259579
ACA,"Arcosa, Inc.",108.8,0.2118,0.23,108.37,109.965,113.43,72.75,5.30691584,98.4302,88.0291,NYSE,199868.0,246468.0,108.94,108.57,2.63,41.37,2025-02-20T21:00:00.000+0000,48776800.0,1733259602
ACAQ,Athena Consumer Acquisition Corp.,2.55,-70.7233,-6.16,2.43,8.0,12.8,2.4,0.025694562,9.900302,10.532019,NYSE,956082.0,66579.0,7.4,8.71,-0.01,-255.0,2023-03-31T00:00:00.000+0000,10076299.0,1697745596
ACAQ-UN,Athena Consumer Acquisition Corp.,2.5,-73.4889,-6.93,2.5,11.55,11.96,2.5,0.074265503,9.812375,9.812375,NYSE,13977.0,4959.0,9.76,9.43,0.0,0.0,2023-03-31T00:00:00.000+0000,29706201.0,1697745471
ACAQ-WT,Athena Consumer Acquisition Corp.,0.4245,24.8529,0.0845,0.3,0.44,0.44,0.3,0.013757461,0.0,0.0,NYSE,2348775.0,0.0,0.3,0.34,,0.0,2023-03-31T00:00:00.000+0000,32408625.0,1697745594
ACC,"American Campus Communities, Inc.",65.42,0.0764807,0.0499954,65.38,65.46,,,0.0,,,NYSE,18855710.0,,65.37,65.4,0.0,0.0,,0.0,1660075201
ACCO,ACCO Brands Corporation,6.13,0.0,0.0,5.915,6.16,6.62,4.37,0.56936053,5.4706,5.21,NYSE,600102.0,596346.0,6.15,6.13,-1.9,-3.23,2025-02-20T10:59:00.000+0000,92881000.0,1733259602
ACDI,Ascendant Digital Acquisition Corp. III,10.38,0.0482,0.005,10.38,10.38,10.4,9.9399,0.0,10.3319,10.154474,NYSE,192816.0,129283.0,10.37,10.375,0.0,0.0,,0.0,1676492803
ACDI-UN,Ascendant Digital Acquisition Corp. III,10.37,0.0,0.0,10.37,10.37,10.5,10.0,0.0,10.316,10.18375,NYSE,0.0,1951.0,10.37,10.36,0.0,0.0,,0.0,1675698114
ACEL,"Accel Entertainment, Inc.",11.74,-0.0851,-0.01,11.63,11.84,12.61,9.37,0.96671269,11.4872,11.0178,NYSE,213562.0,195028.0,11.8,11.75,0.51,23.02,2025-02-26T05:00:00.000+0000,82343500.0,1733259602
ACF,1491944,,,,,,0.16,0.16,0.0,0.16,0.16,NYSE,0.0,0.0,,,,0.0,2020-03-31T00:00:00.000+0000,0.0,1561759658
ACH,Aluminum Corporation of China Limited,9.04,-0.659345,-0.0600004,8.9312,9.04,,,0.0,,,NYSE,32748.0,,8.94,9.1,1.03,8.776699029126213,2022-08-23T04:00:00.000+0000,0.0,1662062402
ACHR,Archer Aviation Inc.,6.75,-7.5342,-0.55,6.26,7.16,9.84,2.821,2.870590624,3.9644,3.99,NYSE,51333570.0,20622074.0,6.41,7.3,-1.31,-5.15,2025-02-24T05:00:00.000+0000,425272685.0,1733259602
ACHR-WT,Archer Aviation Inc. WT,2.0504,-11.2343,-0.2595,1.78,2.1499,2.1499,1.78,2.89730756,0.0,0.0,NYSE,420173.0,0.0,2.0,2.3099,0.0,,2023-03-31T00:00:00.000+0000,1413045045.0,1733259590
ACI,"Albertsons Companies, Inc.",19.34,-0.5656,-0.11,19.22,19.55,23.47,17.795,11.20459032,18.7606,19.8638,NYSE,2062042.0,3310728.0,19.51,19.45,1.71,11.31,2025-01-07T13:30:00.000+0000,579348000.0,1733259602
ACII,Atlas Crest Investment Corp. II,10.07,-0.1982,-0.02,10.07,10.07,11.05,9.65,0.0,9.982002,9.853797,NYSE,1303.0,297624.0,10.09,11.05,0.3,33.56666666666667,,0.0,1669928394
ACII-UN,Atlas Crest Investment Corp. II,10.09,0.1986,0.02,10.05,10.09,10.11,9.75,0.0,9.951462,9.87134,NYSE,2300.0,29049.0,9.99,10.07,0.14,72.07142857142857,,0.0,1669926900
ACII-WT,Atlas Crest Investment Corp. II,0.0008,-97.4276,0.0008,0.0001,0.007,0.007,0.0001,0.0,0.0,0.0,NYSE,469408.0,0.0,0.8603,0.0311,0.0,0.0,,0.0,1666793913
ACLO,TCW ETF Trust,50.16,0.0914,0.0458,50.15,50.2886,50.2886,50.01,0.0,50.08133,50.08133,NYSE,100002.0,87695.0,50.15,50.13,,,,0.0,1733256877
ACM,AECOM,114.66,-1.104,-1.28,113.81,115.44,118.56,82.23,15.18832224,107.8934,95.9952,NYSE,850481.0,830012.0,115.0,115.94,3.71,30.91,2025-02-03T05:00:00.000+0000,132464000.0,1733259602
ACN,Accenture plc,352.54,-2.4462,-8.84,346.74,354.335,387.51,278.69,220.28673424,358.651,334.4841,NYSE,2152046.0,2429196.0,348.8,361.38,11.46,30.76,2024-12-19T13:30:00.000+0000,624856000.0,1733259602
ACP,Abrdn Income Credit Strategies Fund,6.49,0.3091,0.02,6.45,6.5,7.05,6.16,0.81430679,6.5138,6.6316,NYSE,605095.0,619990.0,6.46,6.47,0.92,7.05,2025-05-16T14:00:00.000+0000,125471000.0,1733259602
ACP-PA,Abrdn Income Credit Strategies Fund,23.6,-0.6734,-0.16,23.6,24.05,25.94,21.87,1.215170018,23.972677,23.883844,NYSE,2169.0,1743.0,23.72,23.76,1.46,16.16,2025-05-16T14:00:00.000+0000,34166555.0,1733254948
ACR,ACRES Commercial Realty Corp.,17.7,2.4899,0.43,17.14,17.77,17.77,7.82,0.136943307,15.915,14.1328,NYSE,15385.0,18573.0,17.14,17.27,0.83,21.33,2025-02-26T05:00:00.000+0000,7736910.0,1733259602
ACRE,Ares Commercial Real Estate Corporation,7.03,-0.7062,-0.05,6.95,7.1,11.24,6.25,0.383431666,6.8344,7.0731,NYSE,406783.0,455168.0,7.1,7.08,-1.18,-5.96,2025-02-20T13:30:00.000+0000,54542200.0,1733259602
ACRO,Acropolis Infrastructure Acquisition Corp.,10.45,0.001,0.0001,10.45,10.4597,10.46,9.9172,0.1737396,10.335122,10.220778,NYSE,2538.0,33419.0,10.45,10.4499,0.19,55.0,2023-03-31T00:00:00.000+0000,16625799.0,1702930533
ACRO-UN,Acropolis Infrastructure Acquisition Corp.,11.01,0.8242,0.09,11.01,11.01,13.0,9.755,0.173739595,10.4476,10.2910385,NYSE,198.0,264.0,11.01,10.92,-0.075,-146.8,2023-03-31T00:00:00.000+0000,15780163.0,1702579403
ACRO-WT,Acropolis Infrastructure Acquisition Corp.,0.0105,-56.0669,-0.0134,0.0105,0.0105,0.0105,0.0105,0.1737396,0.0,0.0,NYSE,571.0,0.0,0.0105,0.0239,0.0,0.0,2023-03-31T00:00:00.000+0000,16546628571.0,1701441039
ACR-PC,ACRES Commercial Realty Corp.,25.2,0.0282,0.0071,25.162,25.22,25.2896,22.17,0.134427938,24.945227,24.66661,NYSE,4300.0,11588.0,25.1635,25.1929,0.507,49.7,2025-02-26T21:00:00.000+0000,5303733.0,1733259485
ACR-PD,ACRES Commercial Realty Corp.,22.8559,0.4655,0.1059,22.8328,22.8559,24.49,20.1,0.133650881,23.1226,22.240774,NYSE,2404.0,6384.0,22.8328,22.75,0.507,45.08,2025-02-26T21:00:00.000+0000,5847544.0,1733258156
ACV,Virtus Diversified Income & Convertible Fund,22.65,-0.1323,-0.03,22.61,22.7399,24.5,19.57,0.23489409,21.54486,21.76348,NYSE,31582.0,32761.0,22.7,22.68,1.8,12.58,2025-06-03T19:00:00.000+0000,10370600.0,1733259602
ACW,Accuride Corporation,,,,,,,,0.0,0.0,0.0,NYSE,0.0,0.0,,,,0.0,2016-09-30T00:00:00.000+0000,0.0,1561759658
ADC,Agree Realty Corporation,74.53,-1.2848,-0.97,74.51,75.7,78.39,54.28,7.71556919,75.2308,66.0267,NYSE,401848.0,933526.0,75.27,75.5,1.81,41.18,2025-02-11T05:00:00.000+0000,103523000.0,1733259602
ADC-PA,Agree Realty Corporation,19.69,0.0,0.0,19.645,19.7902,21.72,16.67,7.815962492,19.959112,18.469334,NYSE,12355.0,16873.0,19.67,19.69,1.784,11.04,2025-02-11T10:59:00.000+0000,396950863.0,1733259479
ADCT,ADC Therapeutics SA,2.07,-10.7759,-0.25,2.06,2.285,6.04,0.941,0.200147472,2.8348,3.54525,NYSE,404970.0,384498.0,2.27,2.32,-2.39,-0.87,2025-03-12T04:00:00.000+0000,96689600.0,1733259602
ADEX,Adit EdTech Acquisition Corp.,5.38,4.466,0.23,4.925,6.5,12.39,3.07,0.047882161,8.83386,10.091725,NYSE,53178.0,12023.0,5.4,5.15,-0.19,-28.31578947368421,2023-03-31T00:00:00.000+0000,8900030.0,1703883429
ADEX-UN,Adit EdTech Acquisition Corp.,4.98,0.8097,0.04,4.46,5.29,12.7,3.68,0.044939918,9.554,9.839623,NYSE,7948.0,6302.0,4.46,4.94,-0.04,-124.5,,9024080.0,1703882962
ADEX-WT,Adit EdTech Acquisition Corp. R,0.084,52.7273,0.029,0.06,0.0867,0.0867,0.06,0.047882161,0.0,0.0,NYSE,96046.0,0.0,0.06,0.055,0.0,0.0,2023-03-31T00:00:00.000+0000,570025726.0,1703883600
ADF,Aldel Financial Inc.,10.66,4.5098,0.46,10.41,11.1899,11.19,9.61,0.0,10.115202,9.964965,NYSE,49591.0,111988.0,10.22,10.2,,0.0,,0.0,0
ADGE,American DG Energy Inc.,,,,,,,,0.0,0.0,0.0,NYSE,0.0,0.0,,,,0.0,2017-03-31T00:00:00.000+0000,0.0,1561759658
ADM,Archer-Daniels-Midland Company,53.17,-2.0269,-1.1,52.76,54.5499,77.35,48.92,25.44365278,55.891,59.23985,NYSE,3953269.0,2882604.0,54.5,54.27,3.56,14.94,2025-01-28T12:00:00.000+0000,478534000.0,1733259602
ADNT,Adient plc,19.9,-1.9221,-0.39,19.71,20.4,37.19,18.53,1.68884932,20.9744,25.7295,NYSE,862926.0,1516898.0,20.3,20.29,0.2,99.5,2025-02-05T05:00:00.000+0000,84866800.0,1733259602
ADRT-WT,Ault Disruptive Technologies Corporation,0.007,0.0,0.0,0.0275,0.03,0.03,0.0275,0.0,0.0,0.0,NYSE,305596.0,0.0,0.0175,0.0275,0.0,0.0,,0.0,1666295243
ADS,"Bread Financial Holdings, Inc.",56.8,1.15761,0.649998,56.285,57.82,128.16,50.3,2.84655472,62.9586,79.77078,NYSE,463839.0,985525.0,56.84,56.15,16.03,3.5433562071116658,,50115400.0,1649044800
ADT,ADT Inc.,7.52,-1.4417,-0.11,7.425,7.64,8.25,6.02,6.40906288,7.3354,7.12595,NYSE,2978503.0,6397511.0,7.64,7.63,0.01,752.0,2025-02-26T05:00:00.000+0000,852269000.0,1733259602
ADX,"Adams Diversified Equity Fund, Inc.",20.66,-0.0967,-0.02,20.57,20.7085,22.63,16.93,2.3281754,21.669,20.6442,NYSE,224175.0,258655.0,20.68,20.68,5.09,4.06,2025-02-18T21:00:00.000+0000,112690000.0,1733259602
AEB,Aegon N.V. PERP CAP FLTG RT,25.01,-0.0799,-0.02,24.98,25.023,26.25,24.27,51.125440499,25.38,25.463284,NYSE,2772.0,12095.0,24.98,25.03,1.325,18.88,,2044199940.0,1631648948
AED,Aegon N.V. PERP CAP SECS,25.52,0.0,0.0,25.48,25.57,25.57,24.99,52.167983081,25.0,25.0,NYSE,32686.0,10400.0,25.48,25.52,1.325,19.26,,2044199964.0,1561752129
AEE,Ameren Corporation,91.8,-1.1628,-1.08,91.8,93.78,95.69,67.03,24.5039904,88.9354,78.6125,NYSE,610543.0,1429126.0,93.38,92.88,4.25,21.6,2025-02-20T21:00:00.000+0000,266928000.0,1733259602
AEF,Abrdn Emerging Markets Equity Income Fund Inc,5.25,0.1908,0.01,5.18,5.25,5.84,4.72,0.26644695,5.4708,5.26745,NYSE,97331.0,79660.0,5.2,5.24,0.5,10.5,2025-05-16T20:00:00.000+0000,50751800.0,1733259600
AEFC,Aegon Funding Company LLC,21.4255,-0.1608,-0.0345,21.36,21.51,22.9,20.395,0.0,22.08598,21.756346,NYSE,41798.0,35676.0,21.51,21.46,0.0,,,0.0,1733259587
AEG,Aegon N.V.,6.41,1.1041,0.07,6.34,6.43,6.96,5.51,10.355035212,6.349,6.21055,NYSE,4600028.0,3161458.0,6.4,6.34,-0.08,-80.12,2025-02-20T06:00:00.000+0000,1615450111.0,1733259602
AEH,Aegon N.V. PRP CP SEC 6.375,25.67,0.0,0.0,25.52,25.68,25.68,24.99,52.474613743,24.99,24.99,NYSE,162310.0,47900.0,25.62,25.67,1.325,19.37,,2044199990.0,1571860920
AEL,American Equity Investment Life Holding Company,56.47,0.552,0.31,56.11,56.48,57.29,38.53,4.493442134,55.8668,54.77475,NYSE,24215765.0,1113680.0,56.25,56.16,2.06,27.4126213592233,2024-08-05T00:00:00.000+0000,79572200.0,1714680001
AEL-PA,American Equity Investment Life Holding Company,24.65,0.5712,0.14,24.41,24.65,25.25,19.45,1.812327061,24.305372,22.76672,NYSE,13654.0,27106.0,24.43,24.51,7.522,3.2770539750066474,2024-08-05T00:00:00.000+0000,73522396.0,1715371202
AEL-PB,American Equity Investment Life Holding Company,24.74,0.0404,0.01,24.66,24.74,25.7,22.0,1.818944077,24.631792,24.232178,NYSE,6696.0,27246.0,24.66,24.73,7.522,3.28901887795799,2024-08-05T00:00:00.000+0000,73522396.0,1715371202
AEM,Agnico Eagle Mines Limited,85.99,3.7649,3.12,83.89,86.74,89.0,44.37,43.125451989,82.7816,71.2356,NYSE,1732946.0,2313055.0,84.0,82.87,1.98,43.43,2025-02-13T21:00:00.000+0000,501517060.0,1733259602
AENZ,Aenza S.A.A.,1.94,4.3011,0.08,1.94,2.1,3.6,1.52,0.17785395,2.0802,2.13335,NYSE,31172.0,12549.0,1.97,1.86,-0.32,-6.0625,2023-11-01T04:00:00.000+0000,91677294.0,1701982754
AEO,"American Eagle Outfitters, Inc.",19.93,0.0,0.0,19.44,20.14,26.44,16.88,3.82783552,19.8162,21.55605,NYSE,4115280.0,4188676.0,19.91,19.93,1.25,15.94,2024-12-04T21:00:00.000+0000,192064000.0,1733259602
AER,AerCap Holdings N.V.,97.14,-1.2604,-1.24,97.14,99.03,100.81,68.0,19.67017002,95.9962,91.03235,NYSE,504311.0,1117446.0,98.9,98.38,12.4,7.83,2025-02-21T13:30:00.000+0000,202493000.0,1733259602
AES,The AES Corporation,13.05,0.3075,0.04,13.03,13.37,22.21,12.53,9.27890235,16.2384,17.43735,NYSE,10857462.0,11891277.0,13.11,13.01,1.44,9.06,2025-02-24T05:00:00.000+0000,711027000.0,1733259602
AESC,The AES Corporation,62.61,1.0654,0.66,62.3,63.47,94.35,47.6899,11.229678322,70.9794,72.026825,NYSE,1175937.0,127212.0,62.85,61.95,-0.223,-280.76233183856505,2023-03-31T00:00:00.000+0000,179359181.0,1707944488
AESI,Atlas Energy Solutions Inc.,24.01,2.4317,0.57,23.2901,24.18,24.93,15.55,2.646306208,21.254,21.25695,NYSE,1059017.0,1172003.0,23.57,23.44,0.69,34.8,2025-02-25T05:00:00.000+0000,110216835.0,1733259602
AET,Aetna Inc.,,,,,,,,0.0,0.0,0.0,NYSE,0.0,0.0,,,,0.0,2018-09-30T00:00:00.000+0000,0.0,1561759658
AEVA,"Aeva Technologies, Inc.",4.31,-4.4346,-0.2,4.2101,4.56,7.25,2.201,0.232234868,3.8156,3.55395,NYSE,662767.0,309533.0,4.49,4.51,-3.12,-1.38,2025-02-19T12:00:00.000+0000,53882800.0,1733259602
AEVA-WT,"Aeva Technologies, Inc. Redeema",0.048,-3.6145,-0.0018,0.048,0.0605,0.0605,0.048,0.230852093,0.0,0.0,NYSE,6800.0,0.0,0.0605,0.0498,0.0,,2023-03-31T00:00:00.000+0000,4809418594.0,1733246021
AF,411094,,,,,,,,0.0,0.0,0.0,NYSE,0.0,0.0,,,,0.0,2017-06-30T00:00:00.000+0000,0.0,1561759658
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",11.46,-0.5208,-0.06,11.46,11.54,11.95,10.33,0.329416554,11.4634,11.13905,NYSE,76069.0,61285.0,11.52,11.52,0.19,60.32,2024-12-27T21:06:00.000+0000,28744900.0,1733259602
AFG,"American Financial Group, Inc.",142.03,-1.3064,-1.88,141.82,144.67,150.19,114.73,11.920762539,136.792,130.8977,NYSE,271022.0,354265.0,143.9,143.91,10.66,13.32,2025-02-04T05:00:00.000+0000,83931300.0,1733259602
AFGB,"American Financial Group, Inc. ",24.51,-0.3659,-0.09,24.5,24.79,25.27,22.775,12.281049105,24.8152,24.22246,NYSE,6165.0,6949.0,24.79,24.6,0.0,,2023-03-31T00:00:00.000+0000,490998105.0,1733259570
AFGC,"American Financial Group, Inc.",21.91,-0.1913,-0.042,21.75,22.0404,23.42,20.02,12.302561579,22.55168,21.76505,NYSE,6539.0,6268.0,21.9501,21.952,0.0,,2023-03-31T00:00:00.000+0000,550225646.0,1733259602
AFGD,"American Financial Group, Inc.",23.74,-0.9182,-0.22,23.74,24.2031,25.61,21.42,11.967642929,24.69784,23.911325,NYSE,3942.0,8122.0,23.89,23.96,0.0,,2023-03-31T00:00:00.000+0000,504113013.0,1733255232
AFGE,"American Financial Group, Inc.",19.32,-0.9739,-0.19,19.22,19.4544,21.78,17.71,12.206105423,20.0846,19.69374,NYSE,5147.0,19719.0,19.44,19.51,0.0,,2023-03-31T00:00:00.000+0000,619095509.0,1733259602
AFI,"Armstrong Flooring, Inc.",0.3512,-7.26168,-0.0275,0.349,0.419,6.62,0.09,0.0,0.969835,1.9547087,NYSE,0.0,4631211.0,0.3959,0.3787,-2.479,-0.1416700282371924,2022-06-02T04:00:00.000+0000,0.0,0
AFL,Aflac Incorporated,106.76,-4.1652,-4.64,106.74,112.24,115.5,75.08,59.30816928,111.1716,96.0315,NYSE,2371848.0,2179247.0,112.24,111.4,6.73,15.86,2025-01-29T10:59:00.000+0000,555528000.0,1733259602
AFT,Apollo Senior Floating Rate Fund Inc.,14.86,-0.3353,-0.05,14.8598,14.9503,15.1399,12.54,0.231423696,14.7924,13.990963,NYSE,42594.0,95582.0,14.91,14.91,2.31,6.432900432900433,2025-06-27T13:00:00.000+0000,15573600.0,1721419197
AFTR,AfterNext HealthTech Acquisition Corp.,10.41,-0.0144,-0.0015,10.41,10.4136,10.6,9.7,0.325312479,10.3699,10.17244,NYSE,395.0,50264.0,10.41,10.4115,0.27,38.55555555555556,2023-03-31T00:00:00.000+0000,31249998.0,1691760605
AFTR-UN,AfterNext HealthTech Acquisition Corp.,10.41,-0.0384,-0.004,10.41,10.41,10.57,9.71,0.0,10.412374,10.215288,NYSE,100.0,5091.0,10.41,10.414,0.0,0.0,2023-03-31T00:00:00.000+0000,0.0,1691760600
AFTR-WT,AfterNext HealthTech Acquisition Corp.,0.0041,-90.5963,-0.0395,0.0041,0.0319,0.0319,0.0041,0.0,0.0,0.0,NYSE,0.0,0.0,0.17,0.0436,0.0,0.0,2023-03-31T00:00:00.000+0000,0.0,1691085972
